Task,Model,Type,Epoch,Accuracy,F1,Precision,Recall,Loss,Step,Runtime,Samples Per Second,Steps Per Second
B3_v1,RoBERTa,eval,2,0.4165,0.3134158762219399,0.3140116289285777,0.4165,1.1227529048919678,25000,50.6902,394.553,49.319
B3_v1,RoBERTa,train,2,0.41932,0.315722768589475,0.3144334994366731,0.41932,1.1151390075683594,25000,260.5327,383.829,47.979
B3_v1,RoBERTa,eval,1,0.7894,0.7883707944951643,0.8535911368850786,0.7894,0.5796061754226685,12500,51.1988,390.634,48.829
B3_v1,RoBERTa,train,1,0.79252,0.7910852116815718,0.8553287823998874,0.79252,0.5702508091926575,12500,260.435,383.973,47.997
B3_v1,RoBERTa,train,3,0.41443,0.3123740932683334,0.3165354115664991,0.4144299999999999,1.120495319366455,37500,260.1272,384.427,48.053
B3_v2,RoBERTa,train,4,0.98593,0.9859376920374204,0.9859671428043868,0.98593,0.0642231181263923,50000,261.4217,382.524,47.815
B3_v2,RoBERTa,eval,5,0.9478,0.947818460028851,0.9478444103806412,0.9478,0.3272310197353363,62500,51.3597,389.41,48.676
B3_v2,RoBERTa,train,5,0.98944,0.9894427355413083,0.9894519420625928,0.98944,0.0495150536298751,62500,260.6706,383.626,47.953
B3_v2,RoBERTa,eval,4,0.9486,0.9486120330048802,0.9486786088603328,0.9486,0.3013935387134552,50000,51.1974,390.645,48.831
B3_v2,RoBERTa,eval,3,0.9475,0.947409898719058,0.9473930792912046,0.9475,0.2864250242710113,37500,51.4321,388.862,48.608
B3_v2,RoBERTa,train,2,0.96722,0.9672557057203984,0.9677756238362086,0.96722,0.1434351205825805,25000,261.2829,382.727,47.841
B3_v2,RoBERTa,eval,2,0.94655,0.9465625879076546,0.9472481946000876,0.94655,0.2572639286518097,25000,51.4343,388.845,48.606
B3_v2,RoBERTa,eval,1,0.9422,0.941943455311937,0.9434802339516708,0.9422,0.2513007223606109,12500,51.1278,391.177,48.897
