Task,Model,Type,Epoch,Accuracy,F1,Precision,Recall,Loss,Step,Runtime,Samples Per Second,Steps Per Second
F2_v2,DistilBERT,train,1,0.90841,0.9082877877378651,0.9089858472691386,0.90841,0.2903718054294586,12500,144.6204,691.465,86.433
F2_v2,DistilBERT,eval,1,0.9081,0.9079610867808127,0.908595309925858,0.9080999999999999,0.29822444915771484,12500,28.3423,705.659,88.207
F2_v2,DistilBERT,train,2,0.91161,0.9114170945125748,0.9127329588682853,0.91161,0.2806128263473511,25000,144.2408,693.285,86.661
F2_v2,DistilBERT,eval,2,0.9105,0.9102870108507001,0.9115895434572318,0.9105,0.28969237208366394,25000,28.4122,703.923,87.99
F2_v2,DistilBERT,train,3,0.91539,0.9151934464732131,0.9158731281186121,0.9153899999999999,0.2670295834541321,37500,144.5979,691.573,86.447
F2_v2,DistilBERT,eval,3,0.91385,0.9136383363738882,0.9143503956293444,0.91385,0.2774696350097656,37500,28.6457,698.186,87.273
F2_v2,DistilBERT,train,4,0.91875,0.9186081463476269,0.9189805754277169,0.91875,0.25018879771232605,50000,144.0861,694.029,86.754
F2_v2,DistilBERT,eval,4,0.91715,0.9170204912733948,0.9174071530524166,0.9171500000000001,0.26252660155296326,50000,28.617,698.885,87.361
F2_v2,DistilBERT,train,5,0.92319,0.9231166349085188,0.9235861993583482,0.9231900000000001,0.2401287704706192,62500,144.0364,694.269,86.784
F2_v2,DistilBERT,eval,5,0.9199,0.9198336000362171,0.9203229936487431,0.9199,0.25385820865631104,62500,28.4892,702.022,87.753
F2_v2,DistilBERT,train,6,0.92515,0.9250479462000546,0.9254521870129102,0.92515,0.23599454760551453,75000,144.2902,693.048,86.631
F2_v2,DistilBERT,eval,6,0.9217,0.9216054029912315,0.9220295284418559,0.9217,0.25164246559143066,75000,28.7761,695.022,86.878
F2_v2,DistilBERT,train,7,0.9267,0.9266083438821378,0.9269566847312187,0.9267,0.23253406584262848,87500,144.5035,692.025,86.503
F2_v2,DistilBERT,eval,7,0.92265,0.9225557567318601,0.9229193471676285,0.92265,0.24955016374588013,87500,28.4636,702.651,87.831
F2_v2,DistilBERT,train,8,0.92769,0.9276660303179745,0.9279434490763816,0.92769,0.22860467433929443,100000,144.4436,692.312,86.539
F2_v2,DistilBERT,eval,8,0.92315,0.9231244263720385,0.9234119211890003,0.9231499999999999,0.24649348855018616,100000,28.6061,699.152,87.394
F2_v2,DistilBERT,train,9,0.92855,0.9284955659137458,0.9287843967168795,0.92855,0.2266491800546646,112500,144.713,691.023,86.378
F2_v2,DistilBERT,eval,9,0.92395,0.9238887360873638,0.9241757059625193,0.92395,0.24485759437084198,112500,28.861,692.976,86.622
F2_v2,DistilBERT,train,10,0.92877,0.9287282848011897,0.9290495631123437,0.9287700000000001,0.22656838595867157,125000,143.787,695.473,86.934
F2_v2,DistilBERT,eval,10,0.92415,0.9241014351884059,0.9244372733711732,0.92415,0.2449827343225479,125000,28.5148,701.39,87.674
