Task,Model,Type,Epoch,Accuracy,F1,Precision,Recall,Loss,Step,Runtime,Samples Per Second,Steps Per Second
F1_v2,BERT,train,1,0.89374,0.8935873994686981,0.8942068808187498,0.8937400000000001,0.35893234610557556,12500,274.638,364.116,45.514
F1_v2,BERT,eval,1,0.89175,0.8915473253009419,0.892132658516913,0.89175,0.3704971671104431,12500,53.6842,372.549,46.569
F1_v2,BERT,train,2,0.90734,0.9072546594229317,0.9078819315758272,0.90734,0.3194271922111511,25000,279.6545,357.584,44.698
F1_v2,BERT,eval,2,0.9058,0.9056673594662201,0.9062562859230534,0.9058,0.3332636058330536,25000,53.8151,371.643,46.455
F1_v2,BERT,train,3,0.9133,0.9130830942516129,0.9135736646475179,0.9133,0.29996588826179504,37500,274.0677,364.873,45.609
F1_v2,BERT,eval,3,0.9118,0.9115401473135923,0.9120435485055433,0.9118,0.315429151058197,37500,53.9701,370.575,46.322
F1_v2,BERT,train,4,0.91803,0.9179139465970036,0.9182301992054768,0.91803,0.28460854291915894,50000,274.428,364.394,45.549
F1_v2,BERT,eval,4,0.9147,0.9145126337395256,0.9148596534155908,0.9147000000000001,0.30195537209510803,50000,53.7352,372.196,46.524
F1_v2,BERT,train,5,0.92013,0.9200290549249963,0.9204954431489137,0.9201299999999999,0.27661365270614624,62500,274.1793,364.725,45.591
F1_v2,BERT,eval,5,0.91565,0.915462405663308,0.9159718517311517,0.91565,0.29524144530296326,62500,54.1395,369.416,46.177
F1_v2,BERT,train,6,0.92257,0.9224236509848556,0.9230110932359844,0.9225700000000001,0.271676629781723,75000,273.7702,365.27,45.659
F1_v2,BERT,eval,6,0.91845,0.9182230235224816,0.9189465702928709,0.9184500000000001,0.2922266721725464,75000,54.2066,368.958,46.12
F1_v2,BERT,train,7,0.92487,0.9247612617229795,0.9250095632084894,0.92487,0.2645933926105499,87500,273.3314,365.856,45.732
F1_v2,BERT,eval,7,0.9202,0.9200225262205585,0.9203458689333803,0.9202,0.2857929468154907,87500,53.8938,371.1,46.388
F1_v2,BERT,train,8,0.92593,0.925858030958786,0.926198104373787,0.9259299999999999,0.2624058127403259,100000,273.334,365.853,45.732
F1_v2,BERT,eval,8,0.9214,0.9212573248357776,0.9216290549202251,0.9214,0.28361672163009644,100000,54.19,369.072,46.134
F1_v2,BERT,train,9,0.9264,0.926278300862323,0.9266592077134983,0.9264,0.2615659832954407,112500,272.9519,366.365,45.796
F1_v2,BERT,eval,9,0.92095,0.9207663557405847,0.9212162184341728,0.92095,0.2834400236606598,112500,53.897,371.078,46.385
F1_v2,BERT,train,10,0.92672,0.9266035203498507,0.9270366299218743,0.92672,0.26014041900634766,125000,273.3646,365.812,45.726
F1_v2,BERT,eval,10,0.92155,0.9213737744804763,0.9218572322494674,0.92155,0.2819446921348572,125000,53.7119,372.357,46.545
