Task,Model,Type,Epoch,Accuracy,F1,Precision,Recall,Loss,Step,Runtime,Samples Per Second,Steps Per Second
E2_v2,DistilBERT,train,1,0.90955,0.9094398639293839,0.9100863803618928,0.9095500000000001,0.28940510749816895,12500,145.3144,688.163,86.02
E2_v2,DistilBERT,eval,1,0.90855,0.9084373868235419,0.909222188083587,0.90855,0.2999405264854431,12500,28.8294,693.735,86.717
E2_v2,DistilBERT,train,2,0.91523,0.9150716552139028,0.9162706669874412,0.91523,0.2687884271144867,25000,146.0796,684.558,85.57
E2_v2,DistilBERT,eval,2,0.91425,0.9140874444514301,0.9153745812739731,0.91425,0.2811024785041809,25000,28.4721,702.441,87.805
E2_v2,DistilBERT,train,3,0.92116,0.9210407661356741,0.9214777798999426,0.9211599999999999,0.25270742177963257,37500,147.0976,679.821,84.978
E2_v2,DistilBERT,eval,3,0.91905,0.9189159542856791,0.9194750303352303,0.91905,0.2662695050239563,37500,28.6059,699.156,87.395
E2_v2,DistilBERT,train,4,0.9252,0.9251717404400194,0.9254159955179602,0.9252,0.24236181378364563,50000,145.6209,686.714,85.839
E2_v2,DistilBERT,eval,4,0.92225,0.9222017266438463,0.922438420641345,0.92225,0.2580956220626831,50000,28.9177,691.617,86.452
E2_v2,DistilBERT,train,5,0.9282,0.9281680931476862,0.9284101219737806,0.9282,0.2365359365940094,62500,147.5521,677.727,84.716
E2_v2,DistilBERT,eval,5,0.9256,0.9255424874107181,0.925767765587451,0.9256000000000001,0.2541968822479248,62500,28.894,692.185,86.523
E2_v2,DistilBERT,train,6,0.92941,0.9293224253960123,0.9297929985122513,0.92941,0.2362961769104004,75000,146.252,683.751,85.469
E2_v2,DistilBERT,eval,6,0.92715,0.9270423303252114,0.9274579311071012,0.92715,0.25588563084602356,75000,28.3514,705.431,88.179
E2_v2,DistilBERT,train,7,0.93076,0.9306631948483145,0.9309836241833838,0.93076,0.2323850393295288,87500,145.5671,686.968,85.871
E2_v2,DistilBERT,eval,7,0.928,0.9278914210328246,0.9281635819272718,0.928,0.25343602895736694,87500,29.1158,686.912,85.864
E2_v2,DistilBERT,train,8,0.93153,0.9314933736935673,0.9318150784677057,0.9315300000000001,0.22929337620735168,100000,145.0008,689.651,86.206
E2_v2,DistilBERT,eval,8,0.9282,0.9281483257805965,0.928393675029778,0.9282,0.2517429292201996,100000,29.0006,689.641,86.205
E2_v2,DistilBERT,train,9,0.93203,0.9319613326871004,0.9322212251292877,0.93203,0.22750964760780334,112500,146.023,684.823,85.603
E2_v2,DistilBERT,eval,9,0.92825,0.9281609112640571,0.92836188756552,0.92825,0.2501741945743561,112500,29.2064,684.781,85.598
E2_v2,DistilBERT,train,10,0.93228,0.9322293553448989,0.9325618776572768,0.93228,0.22745293378829956,125000,145.2507,688.465,86.058
E2_v2,DistilBERT,eval,10,0.9282,0.9281253183755496,0.9283864002980329,0.9282,0.2503274381160736,125000,29.1638,685.782,85.723
