Task,Model,Type,Epoch,Accuracy,F1,Precision,Recall,Loss,Step,Runtime,Samples Per Second,Steps Per Second
D2_v1,DistilBERT,train,1,0.92043,0.9201946454933164,0.9209315891118783,0.9204300000000001,0.2463150918483734,12500,144.5044,692.02,86.503
D2_v1,DistilBERT,eval,1,0.91855,0.9183097083153821,0.9190081763937744,0.91855,0.26143866777420044,12500,28.3658,705.075,88.134
D2_v1,DistilBERT,train,2,0.93061,0.9306106427694597,0.9321297017742874,0.9306099999999999,0.2233220487833023,25000,144.5753,691.681,86.46
D2_v1,DistilBERT,eval,2,0.92685,0.926825457818419,0.9283351412954258,0.92685,0.24434120953083038,25000,28.4908,701.98,87.748
D2_v1,DistilBERT,train,3,0.9378,0.9377050701510969,0.9380071351047322,0.9378,0.2008223831653595,37500,143.2991,697.841,87.23
D2_v1,DistilBERT,eval,3,0.9309,0.9307753317809869,0.931118595166884,0.9309000000000001,0.22861166298389435,37500,28.4052,704.096,88.012
D2_v1,DistilBERT,train,4,0.94013,0.9401738922886597,0.9402540383410894,0.9401299999999999,0.1920606642961502,50000,143.7269,695.764,86.97
D2_v1,DistilBERT,eval,4,0.9329,0.9329162250295882,0.9329729756180365,0.9329000000000001,0.22576893866062164,50000,28.3411,705.689,88.211
D2_v1,DistilBERT,train,5,0.94335,0.94335745627237,0.9440514376794871,0.9433500000000001,0.18093188107013702,62500,143.6825,695.979,86.997
D2_v1,DistilBERT,eval,5,0.9342,0.9341969317579306,0.9349857730958246,0.9341999999999999,0.21796582639217377,62500,28.6716,697.555,87.194
D2_v1,DistilBERT,train,6,0.946,0.94599074005835,0.9460531588109035,0.9460000000000001,0.17462986707687378,75000,144.1025,693.951,86.744
D2_v1,DistilBERT,eval,6,0.937,0.936965101920588,0.9370079287445705,0.937,0.21618075668811798,75000,28.716,696.476,87.06
D2_v1,DistilBERT,train,7,0.94749,0.9474444899670966,0.9477575784890029,0.94749,0.16646812856197357,87500,144.2108,693.429,86.679
D2_v1,DistilBERT,eval,7,0.93725,0.9371758193040494,0.9375409225436263,0.9372499999999999,0.20949746668338776,87500,28.1143,711.382,88.923
D2_v1,DistilBERT,train,8,0.94886,0.948881718309402,0.9491195412951398,0.94886,0.16524232923984528,100000,143.7398,695.702,86.963
D2_v1,DistilBERT,eval,8,0.93825,0.9382598387187562,0.9385073854257625,0.93825,0.21154624223709106,100000,28.521,701.237,87.655
D2_v1,DistilBERT,train,9,0.94931,0.9492773904571412,0.9494861220632825,0.94931,0.16481371223926544,112500,144.717,691.004,86.375
D2_v1,DistilBERT,eval,9,0.93815,0.9381072851843207,0.9383220505529416,0.93815,0.21361000835895538,112500,28.9972,689.722,86.215
D2_v1,DistilBERT,train,10,0.94969,0.9496932843229022,0.9499122884310306,0.9496899999999999,0.1637866348028183,125000,144.6153,691.49,86.436
D2_v1,DistilBERT,eval,10,0.93815,0.9381412138172339,0.9383633800196598,0.93815,0.2130318135023117,125000,28.9012,692.013,86.502
