epoch,accuracy,loss,step
1,0.86475,0.6766778230667114,25000
2,0.85975,0.6808730363845825,50000
3,0.8479,0.7645283937454224,75000
4,0.851,0.7133814692497253,100000
5,0.85385,0.7499802708625793,125000
6,0.8563,0.7079243659973145,150000
7,0.8631,0.673599123954773,175000
8,0.87525,0.6329543590545654,200000
9,0.8831,0.5612757802009583,225000
10,0.8845,0.5521217584609985,250000
